cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.7577092511013216;0.7951807228915663;0.7966804979253111;0.7744680851063831;0.7333333333333333;0.7876106194690264;0.7815126050420167;0.748898678414097;0.7606837606837608;0.7404255319148936
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.7589285714285713;0.7644444444444444;0.7550200803212851;0.8065843621399176;0.7310924369747899;0.8064516129032259;0.7758620689655173;0.7008547008547009;0.7310924369747899;0.7848101265822784
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.771186440677966;0.7796610169491526;0.7136563876651982;0.7354260089686098;0.7489361702127659;0.8244897959183674;0.7404255319148936;0.7736625514403294;0.7786885245901639;0.7711864406779662
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.5925925925925926;0.5897435897435896;0.5833333333333333;0.5988700564971752;0.5806451612903225;0.6666666666666666;0.6012269938650306;0.44897959183673464;0.5714285714285714;0.6049382716049383
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.6354166666666666;0.6875;0.7462686567164178;0.6564102564102564;0.630952380952381;0.7015706806282722;0.6927374301675977;0.693877551020408;0.6907216494845361;0.6594594594594594
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.811881188118812;0.7924528301886793;0.7425742574257426;0.7906976744186047;0.7777777777777779;0.7439613526570049;0.7727272727272727;0.7926267281105991;0.8214285714285714;0.8018018018018017
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.7853881278538812;0.801980198019802;0.8019323671497585;0.7301587301587302;0.763819095477387;0.8037383177570093;0.7557603686635944;0.7884615384615385;0.8105726872246696;0.798165137614679
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.8296943231441049;0.8085106382978723;0.8325791855203619;0.784688995215311;0.8075117370892019;0.8169014084507042;0.8;0.832579185520362;0.815450643776824;0.7947598253275109
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.7559808612440192;0.7947598253275109;0.7642276422764227;0.8078431372549019;0.7937743190661479;0.8389830508474577;0.8054298642533937;0.7947598253275109;0.8333333333333334;0.8132780082987551
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.7905138339920947;0.8122270742358079;0.8046875000000001;0.7966101694915255;0.7521367521367521;0.8221343873517787;0.8050847457627118;0.8251121076233184;0.8346456692913385;0.8333333333333333
